SID,Test_date,Metrics,Temp_1,Temp_2,Temp_3,DO_1,DO_2,DO_3,sat_1,sat_2,sat_3
T03,9/8/2021,Range,0.407,0.314,0.365,0.099,0.1,0.113,0.425,0.49,0.516
T05,9/8/2021,lm_slope,9.60E-05,9.00E-05,0.00011,-2.10E-05,-2.00E-05,-2.30E-05,-3.40E-05,-2.70E-05,-2.30E-05
T05,9/8/2021,R_square,1,0.99,1,0.97,0.96,0.98,0.42,0.29,0.44
T05,9/8/2021,RMSE,0.012,0.015,0.0143,0.00724,0.00786,0.00649,0.0764,0.0823,0.051
T05,9/8/2021,Mean,18.1,18.1,18.1,9.07,9.2,9.28,96,97.4,98.3
T05,9/8/2021,Range,0.657,0.649,0.742,0.161,0.153,0.169,0.527,0.524,0.364
T07,9/7/2021,lm_slope,3.60E-05,3.60E-05,3.40E-05,-2.40E-05,-2.10E-05,-1.90E-05,-0.00021,-0.00017,-0.00015
T07,9/7/2021,R_square,0.89,0.89,0.89,0.99,0.98,0.94,0.99,0.98,0.88
T07,9/7/2021,RMSE,0.0245,0.0239,0.0231,0.00545,0.00564,0.00921,0.0456,0.045,0.112
T07,9/7/2021,Mean,20.1,20.1,20.1,7.14,7.2,7.26,78.6,79.4,80
T07,9/7/2021,Range,0.293,0.31,0.277,0.177,0.151,0.141,1.52,1.19,1.11
U20,9/15/2021,lm_slope,3.00E-05,4.00E-05,3.70E-05,-7.50E-06,-9.90E-06,1.30E-06,-1.50E-05,-1.70E-05,8.10E-05
U20,9/15/2021,R_square,0.9,0.92,0.89,0.86,0.87,0.00042,0.18,0.12,0.019
U20,9/15/2021,RMSE,0.0199,0.0223,0.0243,0.00586,0.00725,0.122,0.0635,0.0893,1.13
U20,9/15/2021,Mean,13.1,13.1,13.2,8.74,9.11,8.79,83.2,86.6,83.7
U20,9/15/2021,Range,0.272,0.316,0.298,0.06,0.083,0.527,0.332,0.47,4.64
W10,9/14/2021,lm_slope,6.10E-05,6.40E-05,7.50E-05,-8.40E-06,-1.00E-05,-1.10E-05,4.40E-05,3.40E-05,5.50E-05
W10,9/14/2021,R_square,0.99,0.99,0.99,0.86,0.91,0.92,0.71,0.62,0.84
W10,9/14/2021,RMSE,0.0123,0.0122,0.0123,0.00649,0.00599,0.00576,0.0539,0.051,0.0459
W10,9/14/2021,Mean,13.6,13.5,13.6,9.53,9.62,9.74,91.6,92.4,93.6
W10,9/14/2021,Range,0.402,0.428,0.497,0.07,0.081,0.087,0.462,0.438,0.466
W20,9/14/2021,lm_slope,0.00017,0.00016,0.00017,-1.20E-05,-1.10E-05,-1.20E-05,0.00023,0.00023,0.00024
W20,9/14/2021,R_square,0.97,0.96,0.97,0.93,0.9,0.91,0.93,0.92,0.93
W20,9/14/2021,RMSE,0.0599,0.0594,0.0565,0.00621,0.00727,0.00744,0.124,0.134,0.13
W20,9/14/2021,Mean,13.4,13.4,13.4,9.83,9.92,10,94.1,95,96.1
W20,9/14/2021,Range,1.03,1.05,1.11,0.08,0.086,0.119,1.57,1.57,1.63
